Ticket name,College,City
Big Data,RVR&JC COLLEGE OF ENGINEERING,Guntur
Big Data,RVR&JC COLLEGE OF ENGINEERING,Guntur
Big Data,RVR&JC COLLEGE OF ENGINEERING,Guntur
Big Data,RVR&JC COLLEGE OF ENGINEERING,Guntur
Big Data,RVR&JC COLLEGE OF ENGINEERING,Guntur
Pravega Accommodation for 2 nights,RVR&JC COLLEGE OF ENGINEERING,Guntur
Pravega Accommodation for 2 nights,RVR&JC COLLEGE OF ENGINEERING,Guntur
Pravega Accommodation for 2 nights,RVR&JC COLLEGE OF ENGINEERING,Guntur
Pravega Accommodation for 2 nights,RVR&JC COLLEGE OF ENGINEERING,Guntur
Pravega Accommodation for 2 nights,RVR&JC COLLEGE OF ENGINEERING,Guntur
Pravega Accommodation for 2 nights,RVR&JC COLLEGE OF ENGINEERING,Guntur
Pravega Accommodation for 2 nights,RVR&JC COLLEGE OF ENGINEERING,Guntur
Touch and Augmented Reality,Jntua college of engineering,Bangalore
Touch and Augmented Reality,Jntua college of engineering,Bangalore
Touch and Augmented Reality,Jntua college of engineering,Bangalore
Touch and Augmented Reality,Jntua college of engineering,Bangalore
Android Controlled Robotics,Jntua college of engineering,Bangalore
Android Controlled Robotics,Anantapur,Anantapur
Pravega Accommodation for 2 nights,JNTUACE,Bangalore
Touch and Augmented Reality,Gitam University/Bangalore Rural,Bangalore
Touch and Augmented Reality,Gitam University/ Bangalore Rural,Bangalore
Touch and Augmented Reality,Gitam University/Bangalore Rural,Bangalore
Touch and Augmented Reality,Gitam University/Bangalore Rural,Bangalore
Touch and Augmented Reality,Gitam University/BANGALORE RURAL,Bangalore
Touch and Augmented Reality,Gitam University/ Bangalore Rural,Bangalore
Touch and Augmented Reality,Gitam University/ Bangalore Rural,Bangalore
Touch and Augmented Reality,Gitam University/ Bangalore Rural,Bangalore
Touch and Augmented Reality,Gitam University/ Bangalore Rural,Bangalore
Android Controlled Robotics,Jntua college of engineering,Bangalore
Touch and Augmented Reality,ACHARYA INSTITUTE OF TECHNOLOGY,Bangalore
Touch and Augmented Reality,rvr&jc college of engineering,Guntur
Touch and Augmented Reality,Jntua college of engineering,Bangalore
Touch and Augmented Reality,Jntua college of engineering,Bangalore
Touch and Augmented Reality,Jntua college of engineering,Bangalore
Touch and Augmented Reality,rvr&jc college of engineering,Guntur
